gene_id	gene_name	gene_type	chr	start	end
ENSG00000197279.3	ZNF165	protein_coding	chr6	28080975	28089563
ENSG00000196812.4	ZSCAN16	protein_coding	chr6	28124560	28130082
ENSG00000198315.10	ZKSCAN8	protein_coding	chr6	28141910	28159472
ENSG00000137185.12	ZSCAN9	protein_coding	chr6	28224886	28233482
ENSG00000187626.8	ZKSCAN4	protein_coding	chr6	28244623	28252224
ENSG00000197062.11	ZSCAN26	protein_coding	chr6	28267010	28278224
ENSG00000235109.7	ZSCAN31	protein_coding	chr6	28324693	28356271
ENSG00000189298.13	ZKSCAN3	protein_coding	chr6	28349914	28369177
ENSG00000158691.14	ZSCAN12	protein_coding	chr6	28378955	28399734
ENSG00000187987.9	ZSCAN23	protein_coding	chr6	28431930	28443502
ENSG00000232040.3	ZBED9	protein_coding	chr6	28570535	28616212
ENSG00000197935.6	ZNF311	protein_coding	chr6	28994785	29005316
ENSG00000204644.9	ZFP57	protein_coding	chr6	29672392	29681110
ENSG00000204531.17	POU5F1	protein_coding	chr6	31164337	31180731
ENSG00000204366.3	ZBTB12	protein_coding	chr6	31899607	31901992
ENSG00000213676.12	ATF6B	protein_coding	chr6	32115264	32128253
ENSG00000204304.11	PBX2	protein_coding	chr6	32184741	32190186
ENSG00000204231.10	RXRB	protein_coding	chr6	33193588	33200688
ENSG00000236104.2	ZBTB22	protein_coding	chr6	33314406	33317942
ENSG00000112511.17	PHF1	protein_coding	chr6	33410399	33416453
ENSG00000213588.5	ZBTB9	protein_coding	chr6	33453970	33457548
ENSG00000137309.19	HMGA1	protein_coding	chr6	34236873	34246231
ENSG00000124664.10	SPDEF	protein_coding	chr6	34537802	34556333
ENSG00000065029.14	ZNF76	protein_coding	chr6	35258909	35295985
ENSG00000112033.13	PPARD	protein_coding	chr6	35342558	35428191
ENSG00000007866.20	TEAD3	protein_coding	chr6	35473597	35497076
ENSG00000010030.13	ETV7	protein_coding	chr6	36354091	36387800
ENSG00000001167.14	NFYA	protein_coding	chr6	41072945	41099976
ENSG00000137166.14	FOXP4	protein_coding	chr6	41546426	41602384
ENSG00000112561.17	TFEB	protein_coding	chr6	41683978	41736259
ENSG00000124496.12	TRERF1	protein_coding	chr6	42224931	42452051
ENSG00000112658.7	SRF	protein_coding	chr6	43171299	43181507
ENSG00000171467.15	ZNF318	protein_coding	chr6	43307134	43369478
ENSG00000096401.7	CDC5L	protein_coding	chr6	44387525	44450426
ENSG00000124813.21	RUNX2	protein_coding	chr6	45328157	45664349
ENSG00000008197.4	TFAP2D	protein_coding	chr6	50713828	50772988
ENSG00000008196.12	TFAP2B	protein_coding	chr6	50818723	50847613
ENSG00000137270.10	GCM1	protein_coding	chr6	53126964	53148829
ENSG00000112200.16	ZNF451	protein_coding	chr6	57086844	57170307
ENSG00000118418.14	HMGN3	protein_coding	chr6	79201245	79234738
ENSG00000112837.16	TBX18	protein_coding	chr6	84687351	84764519
ENSG00000188994.12	ZNF292	protein_coding	chr6	87152833	87264196
ENSG00000112182.14	BACH2	protein_coding	chr6	89926529	90296908
ENSG00000184486.9	POU3F2	protein_coding	chr6	98834592	98839470
ENSG00000112238.11	PRDM13	protein_coding	chr6	99606730	99615578
ENSG00000112246.9	SIM1	protein_coding	chr6	100385015	100464929
ENSG00000187772.7	LIN28B	protein_coding	chr6	104936616	105083332
ENSG00000057657.16	PRDM1	protein_coding	chr6	106086320	106109939
ENSG00000146285.13	SCML4	protein_coding	chr6	107704104	107824317
ENSG00000112333.11	NR2E1	protein_coding	chr6	108166058	108188809
ENSG00000118689.14	FOXO3	protein_coding	chr6	108559835	108684774
ENSG00000112365.4	ZBTB24	protein_coding	chr6	109462594	109483237
ENSG00000153975.9	ZUP1	protein_coding	chr6	116635618	116668794
ENSG00000185002.9	RFX6	protein_coding	chr6	116877212	116932163
ENSG00000025156.12	HSF2	protein_coding	chr6	122399546	122433119
ENSG00000135547.8	HEY2	protein_coding	chr6	125747664	125761269
ENSG00000198945.7	L3MBTL3	protein_coding	chr6	130013699	130141451
ENSG00000118526.6	TCF21	protein_coding	chr6	133889138	133895553
ENSG00000028839.9	TBPL1	protein_coding	chr6	133952170	133990432
ENSG00000118513.18	MYB	protein_coding	chr6	135181315	135219173
ENSG00000177468.6	OLIG3	protein_coding	chr6	137492202	137494250
ENSG00000010818.9	HIVEP2	protein_coding	chr6	142751467	142956698
ENSG00000118495.19	PLAGL1	protein_coding	chr6	143940300	144064599
ENSG00000181472.4	ZBTB2	protein_coding	chr6	151364117	151391548
ENSG00000091831.23	ESR1	protein_coding	chr6	151656691	152129619
ENSG00000164458.9	TBXT	protein_coding	chr6	166157656	166168700
ENSG00000112592.13	TBP	protein_coding	chr6	170554302	170572870
ENSG00000164853.8	UNCX	protein_coding	chr7	1232907	1237318
ENSG00000198517.9	MAFK	protein_coding	chr7	1530714	1543043
ENSG00000164916.10	FOXK1	protein_coding	chr7	4682309	4771443
ENSG00000146587.17	RBAK	protein_coding	chr7	5045821	5069488
ENSG00000236609.3	ZNF853	protein_coding	chr7	6615617	6624290
ENSG00000205903.6	ZNF316	protein_coding	chr7	6637322	6656432
ENSG00000164631.18	ZNF12	protein_coding	chr7	6688433	6706923
ENSG00000006468.13	ETV1	protein_coding	chr7	13891228	13991425
ENSG00000106511.5	MEOX2	protein_coding	chr7	15611212	15686812
ENSG00000106546.13	AHR	protein_coding	chr7	16916359	17346152
ENSG00000122691.12	TWIST1	protein_coding	chr7	19020991	19117672
ENSG00000146618.3	FERD3L	protein_coding	chr7	19144782	19145421
ENSG00000164651.16	SP8	protein_coding	chr7	20782283	20786886
ENSG00000105866.14	SP4	protein_coding	chr7	21428034	21514822
ENSG00000050344.8	NFE2L3	protein_coding	chr7	26152240	26187125
ENSG00000105991.8	HOXA1	protein_coding	chr7	27092993	27095996
ENSG00000105996.6	HOXA2	protein_coding	chr7	27100354	27102811
ENSG00000105997.22	HOXA3	protein_coding	chr7	27106184	27152581
ENSG00000197576.13	HOXA4	protein_coding	chr7	27128507	27130799
ENSG00000106004.4	HOXA5	protein_coding	chr7	27141052	27143668
ENSG00000106006.6	HOXA6	protein_coding	chr7	27145396	27150603
ENSG00000122592.7	HOXA7	protein_coding	chr7	27153716	27157936
ENSG00000078399.17	HOXA9	protein_coding	chr7	27162435	27175180
ENSG00000253293.4	HOXA10	protein_coding	chr7	27170591	27180261
ENSG00000005073.5	HOXA11	protein_coding	chr7	27181510	27185223
ENSG00000106031.8	HOXA13	protein_coding	chr7	27193503	27200106
ENSG00000106038.12	EVX1	protein_coding	chr7	27242700	27250493
ENSG00000153814.12	JAZF1	protein_coding	chr7	27830573	28180743
ENSG00000146592.16	CREB5	protein_coding	chr7	28299321	28825894
ENSG00000164600.6	NEUROD6	protein_coding	chr7	31337461	31340894
ENSG00000164532.10	TBX20	protein_coding	chr7	35202430	35254147
ENSG00000106536.19	POU6F2	protein_coding	chr7	38977998	39493095
ENSG00000106571.13	GLI3	protein_coding	chr7	41960950	42237870
ENSG00000106624.10	AEBP1	protein_coding	chr7	44104361	44114562
ENSG00000146676.8	PURB	protein_coding	chr7	44876293	44885361
ENSG00000185811.18	IKZF1	protein_coding	chr7	50304068	50405101
ENSG00000178665.15	ZNF713	protein_coding	chr7	55887475	55942530
ENSG00000185177.12	ZNF479	protein_coding	chr7	57119614	57139864
ENSG00000182111.8	ZNF716	protein_coding	chr7	57450177	57473546
ENSG00000214652.5	ZNF727	protein_coding	chr7	64045443	64078549
ENSG00000223614.5	ZNF735	protein_coding	chr7	64207090	64220508
ENSG00000197123.9	ZNF679	protein_coding	chr7	64228474	64266931
ENSG00000234444.9	ZNF736	protein_coding	chr7	64307459	64354860
ENSG00000173041.11	ZNF680	protein_coding	chr7	64519884	64563106
ENSG00000196247.11	ZNF107	protein_coding	chr7	64666083	64711582
ENSG00000197008.9	ZNF138	protein_coding	chr7	64794388	64833681
ENSG00000198039.11	ZNF273	protein_coding	chr7	64870172	64930966
ENSG00000152926.14	ZNF117	protein_coding	chr7	64971776	65006684
ENSG00000146757.13	ZNF92	protein_coding	chr7	65373799	65401135
ENSG00000009950.15	MLXIPL	protein_coding	chr7	73593194	73624543
ENSG00000006704.10	GTF2IRD1	protein_coding	chr7	74453790	74602604
ENSG00000263001.5	GTF2I	protein_coding	chr7	74657667	74760692
ENSG00000196275.13	GTF2IRD2	protein_coding	chr7	74796144	74851551
ENSG00000174428.16	GTF2IRD2B	protein_coding	chr7	75092573	75149817
ENSG00000135164.18	DMTF1	protein_coding	chr7	87152361	87196337
ENSG00000182348.6	ZNF804B	protein_coding	chr7	88759368	89337057
ENSG00000127989.13	MTERF1	protein_coding	chr7	91692008	91880720
ENSG00000006377.10	DLX6	protein_coding	chr7	97005548	97011039
ENSG00000105880.6	DLX5	protein_coding	chr7	97020392	97024950
ENSG00000180535.3	BHLHA15	protein_coding	chr7	98211427	98212979
ENSG00000198556.13	ZNF789	protein_coding	chr7	99472841	99503650
ENSG00000160908.14	ZNF394	protein_coding	chr7	99486519	99500324
ENSG00000196652.11	ZKSCAN5	protein_coding	chr7	99504651	99534700
ENSG00000197343.10	ZNF655	protein_coding	chr7	99558406	99576453
ENSG00000197037.10	ZSCAN25	protein_coding	chr7	99616946	99632407
ENSG00000106261.16	ZKSCAN1	protein_coding	chr7	100015572	100041689
ENSG00000166529.14	ZSCAN21	protein_coding	chr7	100049774	100065038
ENSG00000166526.16	ZNF3	protein_coding	chr7	100064033	100082548
ENSG00000257923.10	CUX1	protein_coding	chr7	101815904	102283958
ENSG00000230257.2	NFE4	protein_coding	chr7	102973437	102988856
ENSG00000105856.13	HBP1	protein_coding	chr7	107168961	107202529
ENSG00000177683.13	THAP5	protein_coding	chr7	108554543	108569750
ENSG00000198839.9	ZNF277	protein_coding	chr7	112206588	112343096
ENSG00000128573.24	FOXP2	protein_coding	chr7	114086327	114693772
ENSG00000105967.15	TFEC	protein_coding	chr7	115935148	116159896
ENSG00000128610.11	FEZF1	protein_coding	chr7	122301394	122310691
ENSG00000048405.9	ZNF800	protein_coding	chr7	127346790	127431924
ENSG00000106331.15	PAX4	protein_coding	chr7	127610292	127618114
ENSG00000128604.19	IRF5	protein_coding	chr7	128937612	128950035
ENSG00000106459.14	NRF1	protein_coding	chr7	129611714	129757082
ENSG00000266265.3	KLF14	protein_coding	chr7	130731235	130734176
ENSG00000106554.12	CHCHD3	protein_coding	chr7	132784868	133082088
ENSG00000182158.14	CREB3L2	protein_coding	chr7	137874979	138002067
ENSG00000106410.15	NOBOX	protein_coding	chr7	144397240	144410227
ENSG00000197362.14	ZNF786	protein_coding	chr7	149069643	149090782
ENSG00000204947.8	ZNF425	protein_coding	chr7	149102784	149126346
ENSG00000197024.8	ZNF398	protein_coding	chr7	149126416	149182802
ENSG00000170265.11	ZNF282	protein_coding	chr7	149195485	149226248
ENSG00000170260.8	ZNF212	protein_coding	chr7	149239651	149255609
ENSG00000204946.9	ZNF783	protein_coding	chr7	149262171	149297302
ENSG00000196453.7	ZNF777	protein_coding	chr7	149431363	149461123
ENSG00000181220.16	ZNF746	protein_coding	chr7	149472696	149497817
ENSG00000181444.12	ZNF467	protein_coding	chr7	149764182	149773479
ENSG00000214022.11	REPIN1	protein_coding	chr7	150368189	150374044
ENSG00000196456.11	ZNF775	protein_coding	chr7	150379335	150398631
ENSG00000164900.4	GBX1	protein_coding	chr7	151148589	151174745
ENSG00000164778.4	EN2	protein_coding	chr7	155458129	155464831
ENSG00000130675.14	MNX1	protein_coding	chr7	156994051	157010651
ENSG00000172748.13	ZNF596	protein_coding	chr8	232137	264703
ENSG00000215372.6	ZNF705G	protein_coding	chr8	7355517	7385558
ENSG00000215356.4	ZNF705B	protein_coding	chr8	7926337	7952413
ENSG00000171056.7	SOX7	protein_coding	chr8	10723768	10730512
ENSG00000136574.17	GATA4	protein_coding	chr8	11676959	11760002
ENSG00000215343.7	ZNF705D	protein_coding	chr8	12104389	12115516
ENSG00000179388.8	EGR3	protein_coding	chr8	22687659	22693302
ENSG00000167034.9	NKX3-1	protein_coding	chr8	23678693	23682927
ENSG00000180053.7	NKX2-6	protein_coding	chr8	23702451	23706598
ENSG00000221818.8	EBF2	protein_coding	chr8	25841730	26045397
ENSG00000186918.13	ZNF395	protein_coding	chr8	28345585	28402701
ENSG00000147421.17	HMBOX1	protein_coding	chr8	28890394	29064764
ENSG00000172733.11	PURG	protein_coding	chr8	30995802	31033715
ENSG00000183779.6	ZNF703	protein_coding	chr8	37695751	37700021
ENSG00000104221.12	BRF2	protein_coding	chr8	37843268	37849904
ENSG00000165061.14	ZMAT4	protein_coding	chr8	40530590	40897833
ENSG00000165066.12	NKX6-3	protein_coding	chr8	41645178	41650669
ENSG00000131931.8	THAP1	protein_coding	chr8	42836674	42843325
ENSG00000221869.4	CEBPD	protein_coding	chr8	47736909	47739086
ENSG00000019549.11	SNAI2	protein_coding	chr8	48917604	48921740
ENSG00000147488.11	ST18	protein_coding	chr8	52110839	52460959
ENSG00000164736.5	SOX17	protein_coding	chr8	54457935	54460888
ENSG00000181690.7	PLAG1	protein_coding	chr8	56160904	56211324
ENSG00000180828.2	BHLHE22	protein_coding	chr8	64580367	64583628
ENSG00000185697.16	MYBL1	protein_coding	chr8	66562175	66614247
ENSG00000261787.1	TCF24	protein_coding	chr8	66946501	66962590
ENSG00000147596.3	PRDM14	protein_coding	chr8	70051651	70071693
ENSG00000140396.12	NCOA2	protein_coding	chr8	70109762	70403805
ENSG00000178860.8	MSC	protein_coding	chr8	71841549	71844468
ENSG00000147601.13	TERF1	protein_coding	chr8	73008864	73048122
ENSG00000164749.11	HNF4G	protein_coding	chr8	75407914	75566843
ENSG00000091656.16	ZFHX4	protein_coding	chr8	76681219	76867285
ENSG00000164683.16	HEY1	protein_coding	chr8	79764010	79767863
ENSG00000205189.11	ZBTB10	protein_coding	chr8	80485619	80526265
ENSG00000164684.13	ZNF704	protein_coding	chr8	80628451	80874781
ENSG00000133740.10	E2F5	protein_coding	chr8	85177225	85217158
ENSG00000156469.8	MTERF3	protein_coding	chr8	96239398	96261610
ENSG00000164920.9	OSR2	protein_coding	chr8	98944403	98952104
ENSG00000120963.11	ZNF706	protein_coding	chr8	101177878	101206193
ENSG00000083307.11	GRHL2	protein_coding	chr8	101492432	101669726
ENSG00000155090.14	KLF10	protein_coding	chr8	102648779	102655902
ENSG00000169946.13	ZFPM2	protein_coding	chr8	104590733	105804532
ENSG00000104447.12	TRPS1	protein_coding	chr8	115408496	115809673
ENSG00000178764.7	ZHX2	protein_coding	chr8	122781394	122974512
ENSG00000165156.14	ZHX1	protein_coding	chr8	123248451	123275541
ENSG00000180938.5	ZNF572	protein_coding	chr8	124973298	124979389
ENSG00000212993.5	POU5F1B	protein_coding	chr8	127322183	127420066
ENSG00000136997.17	MYC	protein_coding	chr8	127735434	127741434
ENSG00000066827.15	ZFAT	protein_coding	chr8	134477788	134713049
ENSG00000234616.8	JRK	protein_coding	chr8	142657460	142681968
ENSG00000181638.17	ZFP41	protein_coding	chr8	143246821	143262705
ENSG00000264668.1	AC138696.1	protein_coding	chr8	143247110	143276403
ENSG00000250571.6	GLI4	protein_coding	chr8	143267433	143276931
ENSG00000185730.7	ZNF696	protein_coding	chr8	143289676	143298061
ENSG00000182759.3	MAFA	protein_coding	chr8	143419182	143430406
ENSG00000179886.5	TIGD5	protein_coding	chr8	143597835	143603224
ENSG00000183309.11	ZNF623	protein_coding	chr8	143636013	143656418
ENSG00000181135.15	ZNF707	protein_coding	chr8	143684452	143713898
ENSG00000260428.2	SCX	protein_coding	chr8	144266560	144268481
ENSG00000185122.10	HSF1	protein_coding	chr8	144291591	144314722
ENSG00000261678.2	SCRT1	protein_coding	chr8	144330565	144336281
ENSG00000160973.7	FOXH1	protein_coding	chr8	144473412	144476335
ENSG00000198169.8	ZNF251	protein_coding	chr8	144720907	144756417
ENSG00000196378.11	ZNF34	protein_coding	chr8	144773114	144787345
ENSG00000197363.9	ZNF517	protein_coding	chr8	144798876	144811169
ENSG00000147789.15	ZNF7	protein_coding	chr8	144827464	144847509
ENSG00000196150.13	ZNF250	protein_coding	chr8	144876497	144902168
ENSG00000170631.14	ZNF16	protein_coding	chr8	144930358	144950888
ENSG00000170122.5	FOXD4	protein_coding	chr9	116231	118204
ENSG00000137090.11	DMRT1	protein_coding	chr9	841690	969090
ENSG00000064218.4	DMRT3	protein_coding	chr9	976964	991731
ENSG00000173253.15	DMRT2	protein_coding	chr9	1049858	1057552
ENSG00000080298.15	RFX3	protein_coding	chr9	3218297	3526004
ENSG00000107249.22	GLIS3	protein_coding	chr9	3824127	4348392
ENSG00000147862.16	NFIB	protein_coding	chr9	14081843	14398983
ENSG00000173068.17	BNC2	protein_coding	chr9	16409503	16870843
ENSG00000176399.3	DMRTA1	protein_coding	chr9	22446841	22455740
ENSG00000197579.7	TOPORS	protein_coding	chr9	32540544	32552553
ENSG00000086102.18	NFX1	protein_coding	chr9	33290511	33371157
ENSG00000205143.2	ARID3C	protein_coding	chr9	34621379	34628107
ENSG00000107175.11	CREB3	protein_coding	chr9	35732335	35737004
ENSG00000196092.12	PAX5	protein_coding	chr9	36833275	37034185
ENSG00000168795.4	ZBTB5	protein_coding	chr9	37438114	37465399
ENSG00000273514.1	FOXD4L6	protein_coding	chr9	41126430	41128463
ENSG00000204779.2	FOXD4L5	protein_coding	chr9	65282101	65285209
ENSG00000184659.5	FOXD4L4	protein_coding	chr9	65736555	65738784
ENSG00000274349.4	ZNF658	protein_coding	chr9	66856426	66932141
ENSG00000187559.5	FOXD4L3	protein_coding	chr9	68302867	68304905
ENSG00000119138.4	KLF9	protein_coding	chr9	70384597	70414624
ENSG00000198963.10	RORB	protein_coding	chr9	74497365	74693177
ENSG00000204612.1	FOXB2	protein_coding	chr9	77019655	77020953
ENSG00000165030.3	NFIL3	protein_coding	chr9	91409045	91423862
ENSG00000127081.13	ZNF484	protein_coding	chr9	92845031	92878038
ENSG00000131668.13	BARX1	protein_coding	chr9	93951622	93955372
ENSG00000175787.16	ZNF169	protein_coding	chr9	94259311	94301454
ENSG00000165244.6	ZNF367	protein_coding	chr9	96385941	96418329
ENSG00000081386.12	ZNF510	protein_coding	chr9	96755865	96778129
ENSG00000196597.11	ZNF782	protein_coding	chr9	96816472	96875623
ENSG00000136936.10	XPA	protein_coding	chr9	97674909	97697357
ENSG00000178919.8	FOXE1	protein_coding	chr9	97853254	97856715
ENSG00000119508.17	NR4A3	protein_coding	chr9	99821855	99866891
ENSG00000066697.14	MSANTD3	protein_coding	chr9	100427156	100451711
ENSG00000136870.10	ZNF189	protein_coding	chr9	101398873	101410660
ENSG00000186051.6	TAL2	protein_coding	chr9	105662457	105663112
ENSG00000148143.12	ZNF462	protein_coding	chr9	106863097	107013634
ENSG00000136826.14	KLF4	protein_coding	chr9	107484852	107490482
ENSG00000173258.12	ZNF483	protein_coding	chr9	111525159	111577844
ENSG00000228623.6	ZNF883	transcribed_unprocessed_pseudogene	chr9	112957722	113012227
ENSG00000136866.13	ZFP37	protein_coding	chr9	113038380	113056759
ENSG00000157657.14	ZNF618	protein_coding	chr9	113876282	114056591
ENSG00000106948.16	AKNA	protein_coding	chr9	114334156	114394405
ENSG00000119403.14	PHF19	protein_coding	chr9	120855652	120894896
ENSG00000106852.15	LHX6	protein_coding	chr9	122202577	122229626
ENSG00000186130.4	ZBTB6	protein_coding	chr9	122908056	122913330
ENSG00000171448.8	ZBTB26	protein_coding	chr9	122915566	122931500
ENSG00000106689.10	LHX2	protein_coding	chr9	124001670	124033301
ENSG00000136931.9	NR5A1	protein_coding	chr9	124481236	124507430
ENSG00000148200.16	NR6A1	protein_coding	chr9	124517275	124771310
ENSG00000167081.16	PBX3	protein_coding	chr9	125747345	125967377
ENSG00000136944.17	LMX1B	protein_coding	chr9	126614443	126701032
ENSG00000169155.9	ZBTB43	protein_coding	chr9	126805006	126838210
ENSG00000177125.5	ZBTB34	protein_coding	chr9	126860665	126885878
ENSG00000196152.10	ZNF79	protein_coding	chr9	127424374	127445372
ENSG00000171169.8	NAIF1	protein_coding	chr9	128061233	128068206
ENSG00000167157.10	PRRX2	protein_coding	chr9	129665641	129722674
ENSG00000130711.3	PRDM12	protein_coding	chr9	130664594	130682981
ENSG00000125482.12	TTF1	protein_coding	chr9	132375548	132406851
ENSG00000125492.9	BARHL1	protein_coding	chr9	132582185	132590266
ENSG00000165702.14	GFI1B	protein_coding	chr9	132944000	132991687
ENSG00000148300.11	REXO4	protein_coding	chr9	133406059	133418096
ENSG00000186350.10	RXRA	protein_coding	chr9	134317098	134440585
ENSG00000165643.10	SOHLH1	protein_coding	chr9	135693407	135699528
ENSG00000148411.7	NACC2	protein_coding	chr9	136006537	136095285
ENSG00000107187.16	LHX3	protein_coding	chr9	136196250	136205128
ENSG00000165684.4	SNAPC4	protein_coding	chr9	136375577	136400168
ENSG00000067082.14	KLF6	protein_coding	chr10	3775996	3785281
ENSG00000151657.11	KIN	protein_coding	chr10	7750962	7787981
ENSG00000107485.16	GATA3	protein_coding	chr10	8045378	8075203
ENSG00000168267.6	PTF1A	protein_coding	chr10	23192327	23194252
ENSG00000150051.13	MKX	protein_coding	chr10	27672875	27746060
ENSG00000183621.15	ZNF438	protein_coding	chr10	30820207	31031937
ENSG00000148516.21	ZEB1	protein_coding	chr10	31318495	31529814
ENSG00000095794.19	CREM	protein_coding	chr10	35126791	35212958
ENSG00000198105.13	ZNF248	protein_coding	chr10	37776526	37858106
ENSG00000175395.15	ZNF25	protein_coding	chr10	37949572	37976633
ENSG00000189180.15	ZNF33A	protein_coding	chr10	38010650	38065088
ENSG00000075407.18	ZNF37A	protein_coding	chr10	38094334	38150293
ENSG00000196693.14	ZNF33B	protein_coding	chr10	42574185	42638568
ENSG00000243660.9	ZNF487	protein_coding	chr10	43436841	43483179
ENSG00000196793.13	ZNF239	protein_coding	chr10	43556344	43574618
ENSG00000198298.12	ZNF485	protein_coding	chr10	43606407	43617903
ENSG00000169740.13	ZNF32	protein_coding	chr10	43643859	43648856
ENSG00000165512.4	ZNF22	protein_coding	chr10	45000475	45005326
ENSG00000265763.3	ZNF488	protein_coding	chr10	47365496	47384273
ENSG00000165606.8	DRGX	protein_coding	chr10	49364181	49396016
ENSG00000150347.15	ARID5B	protein_coding	chr10	61901300	62096944
ENSG00000138311.16	ZNF365	protein_coding	chr10	62374192	62670301
ENSG00000122877.15	EGR2	protein_coding	chr10	62811996	62919900
ENSG00000179774.8	ATOH7	protein_coding	chr10	68230624	68232103
ENSG00000138336.8	TET1	protein_coding	chr10	68560656	68694482
ENSG00000122859.4	NEUROG3	protein_coding	chr10	69571698	69573238
ENSG00000165655.16	ZNF503	protein_coding	chr10	75397830	75401906
ENSG00000152804.10	HHEX	protein_coding	chr10	92689951	92695646
ENSG00000177853.14	ZNF518A	protein_coding	chr10	96129715	96205288
ENSG00000196233.13	LCOR	protein_coding	chr10	96832282	96995959
ENSG00000119919.10	NKX2-3	protein_coding	chr10	99532933	99536524
ENSG00000075891.21	PAX2	protein_coding	chr10	100735603	100829941
ENSG00000107807.12	TLX1	protein_coding	chr10	101130505	101137789
ENSG00000138136.6	LBX1	protein_coding	chr10	101226195	101229794
ENSG00000107859.9	PITX3	protein_coding	chr10	102230186	102241474
ENSG00000077150.18	NFKB2	protein_coding	chr10	102394110	102402529
ENSG00000156374.15	PCGF6	protein_coding	chr10	103302796	103351144
ENSG00000119950.20	MXI1	protein_coding	chr10	110207605	110287365
ENSG00000148737.16	TCF7L2	protein_coding	chr10	112950250	113167678
ENSG00000148704.12	VAX1	protein_coding	chr10	117128521	117138301
ENSG00000170370.11	EMX2	protein_coding	chr10	117542444	117549546
ENSG00000095574.11	IKZF5	protein_coding	chr10	122990806	123008817
ENSG00000188620.9	HMX3	protein_coding	chr10	123135962	123137741
ENSG00000188816.3	HMX2	protein_coding	chr10	123148122	123150672
ENSG00000229544.8	NKX1-2	protein_coding	chr10	124445239	124450184
ENSG00000186766.7	FOXI2	protein_coding	chr10	127737235	127741186
ENSG00000108001.13	EBF3	protein_coding	chr10	129835283	129963841
ENSG00000148826.8	NKX6-2	protein_coding	chr10	132783179	132786052
ENSG00000151650.7	VENTX	protein_coding	chr10	133237404	133241929
ENSG00000198546.14	ZNF511	protein_coding	chr10	133308475	133313162
ENSG00000185507.20	IRF7	protein_coding	chr11	612553	615999
ENSG00000177030.16	DEAF1	protein_coding	chr11	644233	706715
ENSG00000183734.4	ASCL2	protein_coding	chr11	2268495	2270952
ENSG00000005801.17	ZNF195	protein_coding	chr11	3339261	3379222
ENSG00000149054.15	ZNF215	protein_coding	chr11	6926404	7001004
ENSG00000149050.9	ZNF214	protein_coding	chr11	6999318	7020368
ENSG00000176009.3	ASCL3	protein_coding	chr11	8937579	8938211
ENSG00000166478.9	ZNF143	protein_coding	chr11	9460319	9528524
ENSG00000236287.7	ZBED5	protein_coding	chr11	10812074	10858796
ENSG00000187079.16	TEAD1	protein_coding	chr11	12674591	12944483
ENSG00000133794.17	ARNTL	protein_coding	chr11	13276652	13387266
ENSG00000110693.17	SOX6	protein_coding	chr11	15966449	16739591
ENSG00000129152.3	MYOD1	protein_coding	chr11	17719568	17722131
ENSG00000129173.12	E2F8	protein_coding	chr11	19224063	19241620
ENSG00000109851.6	DBX1	protein_coding	chr11	20156155	20160613
ENSG00000185238.12	PRMT3	protein_coding	chr11	20387530	20509294
ENSG00000007372.22	PAX6	protein_coding	chr11	31784779	31818062
ENSG00000184937.13	WT1	protein_coding	chr11	32387775	32435630
ENSG00000135374.9	ELF5	protein_coding	chr11	34478793	34513805
ENSG00000135373.12	EHF	protein_coding	chr11	34621093	34661057
ENSG00000166349.9	RAG1	protein_coding	chr11	36510709	36593156
ENSG00000052850.6	ALX4	protein_coding	chr11	44260440	44310166
ENSG00000135365.15	PHF21A	protein_coding	chr11	45929323	46121178
ENSG00000157613.10	CREB3L1	protein_coding	chr11	46277661	46321422
ENSG00000175213.2	ZNF408	protein_coding	chr11	46700818	46705912
ENSG00000025434.18	NR1H3	protein_coding	chr11	47248300	47269032
ENSG00000066336.11	SPI1	protein_coding	chr11	47354860	47378576
ENSG00000186660.14	ZFP91	protein_coding	chr11	58579111	58621042
ENSG00000124920.13	MYRF	protein_coding	chr11	61752642	61788518
ENSG00000185670.7	ZBTB3	protein_coding	chr11	62748319	62754188
ENSG00000188070.9	C11orf95	protein_coding	chr11	63759892	63768775
ENSG00000173153.13	ESRRA	protein_coding	chr11	64305572	64316743
ENSG00000168062.9	BATF2	protein_coding	chr11	64987943	64997045
ENSG00000173825.6	TIGD3	protein_coding	chr11	65354767	65357613
ENSG00000173039.18	RELA	protein_coding	chr11	65653596	65663094
ENSG00000172818.9	OVOL1	protein_coding	chr11	65787022	65797219
ENSG00000175592.8	FOSL1	protein_coding	chr11	65892049	65900573
ENSG00000175550.7	DRAP1	protein_coding	chr11	65919257	65921561
ENSG00000174576.9	NPAS4	protein_coding	chr11	66421004	66426707
ENSG00000173120.14	KDM2A	protein_coding	chr11	67119269	67258087
ENSG00000167800.9	TBX10	protein_coding	chr11	67631303	67639560
ENSG00000214534.5	ZNF705E	protein_coding	chr11	71814045	71821548
ENSG00000165462.5	PHOX2A	protein_coding	chr11	72239077	72245664
ENSG00000137492.7	THAP12	protein_coding	chr11	76349956	76380971
ENSG00000137504.13	CREBZF	protein_coding	chr11	85659708	85682908
ENSG00000183340.6	JRKL	protein_coding	chr11	96389989	96507574
ENSG00000082175.14	PGR	protein_coding	chr11	101029624	101130524
ENSG00000170903.10	MSANTD4	protein_coding	chr11	105995623	106022403
ENSG00000110777.11	POU2AF1	protein_coding	chr11	111352252	111455630
ENSG00000109906.13	ZBTB16	protein_coding	chr11	114059593	114250676
